metric,step,value
ep_rew_mean,2672768,397.2500
ep_rew_mean,2680960,397.2500
ep_rew_mean,2689152,408.1000
ep_rew_mean,2697344,408.1000
ep_rew_mean,2705536,405.5410
ep_rew_mean,2713728,405.5410
ep_rew_mean,2721920,396.1360
ep_rew_mean,2730112,396.1360
ep_rew_mean,2738304,389.8670
ep_rew_mean,2746496,389.8670
ep_rew_mean,2754688,384.7360
ep_rew_mean,2762880,384.7360
ep_rew_mean,2771072,381.5690
ep_rew_mean,2779264,381.5690
ep_rew_mean,2787456,386.5620
ep_rew_mean,2795648,386.5620
ep_rew_mean,2803840,394.1130
ep_rew_mean,2812032,394.1130
ep_rew_mean,2820224,398.6780
ep_rew_mean,2828416,398.6780
ep_rew_mean,2836608,395.4510
ep_rew_mean,2844800,395.4510
ep_rew_mean,2852992,397.4770
ep_rew_mean,2861184,397.4770
ep_rew_mean,2869376,396.3230
ep_rew_mean,2877568,396.3230
ep_rew_mean,2885760,395.6930
ep_rew_mean,2888192,396.3230
ep_rew_mean,2893952,395.6930
ep_rew_mean,2896384,400.4420
ep_rew_mean,2902144,389.5300
ep_rew_mean,2904576,400.4420
ep_rew_mean,2910336,389.5300
ep_rew_mean,2912768,400.7200
ep_rew_mean,2920960,400.7200
ep_rew_mean,2928192,400.7200
ep_rew_mean,2936384,405.9690
ep_rew_mean,2944576,405.9690
ep_rew_mean,2952768,420.8550
ep_rew_mean,2960960,420.8550
ep_rew_mean,2969152,429.9950
ep_rew_mean,2977344,429.9950
ep_rew_mean,2985536,432.3890
ep_rew_mean,2993728,432.3890
ep_rew_mean,3001920,441.7660
ep_rew_mean,3010112,441.7660
ep_rew_mean,3018304,437.0860
ep_rew_mean,3026496,437.0860
ep_rew_mean,3034688,438.7630
ep_rew_mean,3042880,438.7630
ep_rew_mean,3051072,444.2600
ep_rew_mean,3059264,444.2600
ep_rew_mean,3067456,445.9320
ep_rew_mean,3075648,445.9320
ep_rew_mean,3083840,456.4580
ep_rew_mean,3092032,456.4580
ep_rew_mean,3100224,456.4340
ep_rew_mean,3108416,456.4340
ep_rew_mean,3116608,455.2790
ep_rew_mean,3124800,455.2790
ep_rew_mean,3132992,453.5200
ep_rew_mean,3141184,453.5200
ep_rew_mean,3149376,457.5850
ep_rew_mean,3157568,457.5850
ep_rew_mean,3165760,460.3670
ep_rew_mean,3173952,460.3670
ep_rew_mean,3182144,458.6670
ep_rew_mean,3190336,458.6670
ep_rew_mean,3198528,462.0830
ep_rew_mean,3206720,462.0830
ep_rew_mean,3208192,462.0830
ep_rew_mean,3214912,458.4380
ep_rew_mean,3216384,454.2130
ep_rew_mean,3223104,458.4380
ep_rew_mean,3224576,454.2130
ep_rew_mean,3231296,461.7680
ep_rew_mean,3232768,453.7090
ep_rew_mean,3239488,461.7680
ep_rew_mean,3240960,453.7090
ep_rew_mean,3249152,452.0460
ep_rew_mean,3257344,452.0460
ep_rew_mean,3265536,449.3380
ep_rew_mean,3273728,449.3380
ep_rew_mean,3281920,448.0880
ep_rew_mean,3290112,448.0880
ep_rew_mean,3298304,446.7980
ep_rew_mean,3306496,446.7980
ep_rew_mean,3314688,447.5820
ep_rew_mean,3322880,447.5820
ep_rew_mean,3331072,447.3380
ep_rew_mean,3339264,447.3380
ep_rew_mean,3347456,442.3100
ep_rew_mean,3355648,442.3100
ep_rew_mean,3363840,438.7130
ep_rew_mean,3368192,442.3100
ep_rew_mean,3372032,438.7130
ep_rew_mean,3376384,438.3730
ep_rew_mean,3380224,437.1330
ep_rew_mean,3384576,438.3730
ep_rew_mean,3388416,437.1330
ep_rew_mean,3392768,440.2980
ep_rew_mean,3400960,440.2980
ep_rew_mean,3409152,446.2070
ep_rew_mean,3417344,446.2070
ep_rew_mean,3425536,452.9590
ep_rew_mean,3433728,452.9590
ep_rew_mean,3441920,449.3110
ep_rew_mean,3450112,449.3110
ep_rew_mean,3458304,450.6280
ep_rew_mean,3466496,450.6280
ep_rew_mean,3474688,446.5300
ep_rew_mean,3482880,446.5300
ep_rew_mean,3491072,443.8930
ep_rew_mean,3499264,443.8930
ep_rew_mean,3507456,448.7180
ep_rew_mean,3515648,448.7180
ep_rew_mean,3523840,437.3110
ep_rew_mean,3532032,437.3110
ep_rew_mean,3540224,435.3470
ep_rew_mean,3548416,435.3470
ep_rew_mean,3556608,440.7270
ep_rew_mean,3564800,440.7270
ep_rew_mean,3572992,437.0560
ep_rew_mean,3581184,437.0560
ep_rew_mean,3589376,444.0290
ep_rew_mean,3597568,444.0290
ep_rew_mean,3605760,440.1790
ep_rew_mean,3613952,440.1790
ep_rew_mean,3622144,430.2980
ep_rew_mean,3630336,430.2980
ep_rew_mean,3638528,434.3410
ep_rew_mean,3646720,434.3410
ep_rew_mean,3654912,438.8940
ep_rew_mean,3663104,438.8940
ep_rew_mean,3671296,440.7440
ep_rew_mean,3679488,440.7440
ep_rew_mean,3687680,443.8540
ep_rew_mean,3695872,443.8540
ep_rew_mean,3704064,442.7140
ep_rew_mean,3712256,454.2930
ep_rew_mean,3720448,454.2930
ep_rew_mean,3728640,456.2770
ep_rew_mean,3736832,456.2770
ep_rew_mean,3745024,463.5720
ep_rew_mean,3753216,463.5720
ep_rew_mean,3761408,469.5350
ep_rew_mean,3769600,469.5350
ep_rew_mean,3777792,467.2390
ep_rew_mean,3785984,467.2390
ep_rew_mean,3794176,466.2690
ep_rew_mean,3802368,466.2690
ep_rew_mean,3810560,464.9660
ep_rew_mean,3818752,464.9660
ep_rew_mean,3826944,466.5620
ep_rew_mean,3835136,466.5620
ep_rew_mean,3843328,464.4210
ep_rew_mean,3851520,464.4210
ep_rew_mean,3859712,466.7050
ep_rew_mean,3867904,466.7050
ep_rew_mean,3876096,469.2270
ep_rew_mean,3884288,469.2270
ep_rew_mean,3892480,469.3970
ep_rew_mean,3900672,469.3970
ep_rew_mean,3908864,469.3450
ep_rew_mean,3917056,469.3450
ep_rew_mean,3925248,476.2950
ep_rew_mean,3933440,476.2950
ep_rew_mean,3941632,478.6020
ep_rew_mean,3949824,478.6020
ep_rew_mean,3958016,482.0170
ep_rew_mean,3966208,482.0170
ep_rew_mean,3974400,482.0740
ep_rew_mean,3982592,482.0740
ep_rew_mean,3990784,482.4780
ep_rew_mean,3998976,482.4780
ep_rew_mean,4007168,480.4690
ep_rew_mean,4008192,482.4780
ep_rew_mean,4015360,480.4690
ep_rew_mean,4016384,485.3570
ep_rew_mean,4024576,485.3570
ep_rew_mean,4032768,486.5820
ep_rew_mean,4040960,486.5820
ep_rew_mean,4049152,484.5620
ep_rew_mean,4057344,484.5620
ep_rew_mean,4065536,481.6120
ep_rew_mean,4073728,481.6120
ep_rew_mean,4081920,482.2540
ep_rew_mean,4088192,481.6120
ep_rew_mean,4090112,482.2540
ep_rew_mean,4096384,487.0050
ep_rew_mean,4098304,483.2330
ep_rew_mean,4104576,487.0050
ep_rew_mean,4106496,483.2330
ep_rew_mean,4112768,485.4470
ep_rew_mean,4120960,485.4470
ep_rew_mean,4128192,485.4470
ep_rew_mean,4129152,482.1090
ep_rew_mean,4136384,483.8900
ep_rew_mean,4137344,482.1090
ep_rew_mean,4144576,483.8900
ep_rew_mean,4152768,485.8390
ep_rew_mean,4160960,485.8390
ep_rew_mean,4169152,484.6240
ep_rew_mean,4177344,484.6240
ep_rew_mean,4185536,479.0090
ep_rew_mean,4193728,479.0090
ep_rew_mean,4201920,477.0620
ep_rew_mean,4210112,477.0620
ep_rew_mean,4218304,479.1560
ep_rew_mean,4226496,479.1560
ep_rew_mean,4234688,474.3650
ep_rew_mean,4242880,474.3650
ep_rew_mean,4251072,474.6030
ep_rew_mean,4259264,474.6030
ep_rew_mean,4267456,474.1220
ep_rew_mean,4275648,474.1220
ep_rew_mean,4283840,476.8380
ep_rew_mean,4292032,476.8380
ep_rew_mean,4300224,475.5630
ep_rew_mean,4308416,475.5630
ep_rew_mean,4316608,475.3740
ep_rew_mean,4324800,475.3740
ep_rew_mean,4332992,474.8650
ep_rew_mean,4341184,474.8650
ep_rew_mean,4349376,476.5620
ep_rew_mean,4357568,476.5620
ep_rew_mean,4365760,472.2880
ep_rew_mean,4373952,472.2880
ep_rew_mean,4382144,464.6440
ep_rew_mean,4390336,464.6440
ep_rew_mean,4398528,474.9610
ep_rew_mean,4406720,474.9610
ep_rew_mean,4414912,470.8340
ep_rew_mean,4423104,470.8340
ep_rew_mean,4431296,476.7900
ep_rew_mean,4439488,476.7900
ep_rew_mean,4447680,483.5320
ep_rew_mean,4455872,483.5320
ep_rew_mean,4464064,489.1070
ep_rew_mean,4472256,494.9520
ep_rew_mean,4480448,494.9520
ep_rew_mean,4488640,497.9210
ep_rew_mean,4496832,497.9210
ep_rew_mean,4505024,499.5960
ep_rew_mean,4513216,499.5960
ep_rew_mean,4521408,491.4340
ep_rew_mean,4529600,491.4340
ep_rew_mean,4537792,486.6980
ep_rew_mean,4545984,486.6980
ep_rew_mean,4554176,495.2430
ep_rew_mean,4562368,495.2430
ep_rew_mean,4570560,498.2370
ep_rew_mean,4578752,498.2370
ep_rew_mean,4586944,498.1940
ep_rew_mean,4595136,498.1940
ep_rew_mean,4603328,497.6410
ep_rew_mean,4611520,497.6410
ep_rew_mean,4619712,500.2480
ep_rew_mean,4627904,500.2480
ep_rew_mean,4636096,495.7650
ep_rew_mean,4644288,495.7650
ep_rew_mean,4652480,494.3320
ep_rew_mean,4660672,494.3320
ep_rew_mean,4668864,484.6790
ep_rew_mean,4677056,484.6790
ep_rew_mean,4685248,477.7560
ep_rew_mean,4688192,484.6790
ep_rew_mean,4693440,477.7560
ep_rew_mean,4696384,478.2890
ep_rew_mean,4704576,478.2890
ep_rew_mean,4712768,478.9180
ep_rew_mean,4720960,478.9180
ep_rew_mean,4729152,485.2950
ep_rew_mean,4737344,485.2950
ep_rew_mean,4745536,485.5970
ep_rew_mean,4753728,485.5970
ep_rew_mean,4761920,487.0200
ep_rew_mean,4770112,487.0200
ep_rew_mean,4778304,481.4240
ep_rew_mean,4786496,481.4240
ep_rew_mean,4794688,480.0470
ep_rew_mean,4802880,480.0470
ep_rew_mean,4811072,481.8600
ep_rew_mean,4819264,481.8600
ep_rew_mean,4827456,479.6940
ep_rew_mean,4835648,479.6940
ep_rew_mean,4843840,481.2800
ep_rew_mean,4852032,481.2800
ep_rew_mean,4860224,479.1220
ep_rew_mean,4868416,479.1220
ep_rew_mean,4876608,482.5410
ep_rew_mean,4884800,482.5410
ep_rew_mean,4892992,491.9270
ep_rew_mean,4901184,491.9270
ep_rew_mean,4909376,494.7620
ep_rew_mean,4917568,494.7620
ep_rew_mean,4925760,493.7950
